,Op.,title,subtitle,key,dates of composition,publication year
0,1,Rondo,,C minor,1825,1825
1,2,"Variations sur ""La ci darem la mano"" de ""Don juan"" de Mozart",,B flat major,1827,1830
2,3,Introduction and Polonaise brillante,,C major,1829-1830,1831
3,4,Piano Sonata No.1,,C minor,1827-1828,1851
4,5,Rondo à la Mazur,,F major,1826,1828
5,6-1,Mazurka,,F sharp minor,1830-1832,1832
6,6-2,Mazurka,,C sharp minor,1830-1832,1832
7,6-3,Mazurka,,E major,1830-1832,1832
8,6-4,Mazurka,,E flat minor,1830-1832,1832
9,7-1,Mazurka,,B flat major,1830-1832,1832
10,7-2,Mazurka,,A minor,1830-1832,1832
11,7-3,Mazurka,,F minor,1830-1832,1832
12,7-4,Mazurka,,A flat major,1830-1832,1832
13,7-5,Mazurka,,C major,1830-1832,1832
14,8,"Trio pour piano, violon et violoncelle",,G minor,1828,1832
15,9-1,Nocturne,,B flat minor,1830-1832,1832
16,9-2,Nocturne,,E flat major,1830-1832,1832
17,9-3,Nocturne,,B major,1830-1832,1832
18,10-1,Etude No.1,,C major,1830-1832,1833
19,10-2,Etude No.2,,A minor,1830-1832,1833
20,10-3,Etude No.3,Tristesse,E major,1830-1832,1833
21,10-4,Etude No.4,,C sharp minor,1830-1832,1833
22,10-5,Etude No.5,Black Key,G flat major,1830-1832,1833
23,10-6,Etude No.6,,E flat minor,1830-1832,1833
24,10-7,Etude No.7,,C major,1830-1832,1833
25,10-8,Etude No.8,,F major,1830-1832,1833
26,10-9,Etude No.9,,F minor,1830-1832,1833
27,10-10,Etude No.10,,A flat major,1830-1832,1833
28,10-11,Etude No.11,,E flat major,1830-1832,1833
29,10-12,Etude No.12,Revolutionary,C minor,1830-1832,1833
30,11,Piano Concerto No.1,,E minor,1830,1833
31,12,Variations brillantes,,B flat major,1833,1833
32,13,Grande fantaisie sur des airs polonais,,A major,1828,1834
33,14,Krakowiak. Grande Rondo de Concert,,F major,1828,1834
34,15-1,Nocturne,,F major,1830-1833,1833
35,15-2,Nocturne,,F sharp major,1830-1833,1833
36,15-3,Nocturne,,G minor,1830-1833,1833
37,16,Rondo,,E flat major,1833,1834
38,17-1,Mazurka,,B flat major,1832-1833,1834
39,17-2,Mazurka,,E minor,1832-1833,1834
40,17-3,Mazurka,,A flat major,1832-1833,1834
41,17-4,Mazurka,,A minor,1832-1833,1834
42,18,Waltz ,,E flat major,1831-1832,1834
43,19,Bolero,,C major,1833,1834
44,20,Scherzo No.1,,B minor,1835,1835
45,21,Piano Concerto No.2,,F minor,1829,1836
46,22,Andante spianato et Grande Polonaise brillante,,E flat major,1830-1835,1836
47,23,Ballad No.1,,G minor,1835,1836
48,24-1,Mazurka,,G minor,1833,1836
49,24-2,Mazurka,,C major,1833,1836
50,24-3,Mazurka,,A flat major,1833,1836
51,24-4,Mazurka,,B flat minor,1833,1836
52,25-1,Etude No.1,Aeolian Harp,A flat major,1835-1837,1837
53,25-2,Etude No.2,,F minor,1835-1837,1837
54,25-3,Etude No.3,,F major,1835-1837,1837
55,25-4,Etude No.4,,A minor,1835-1837,1837
56,25-5,Etude No.5,,E minor,1835-1837,1837
57,25-6,Etude No.6,,G sharp minor,1835-1837,1837
58,25-7,Etude No.7,,C sharp minor,1835-1837,1837
59,25-8,Etude No.8,,D flat major,1835-1837,1837
60,25-9,Etude No.9,Butterfly,G flat major,1835-1837,1837
61,25-10,Etude No.10,,B minor,1835-1837,1837
62,25-11,Etude No.11,Winter Wind,A minor,1835-1837,1837
63,25-12,Etude No.12,Ocean,C minor,1835-1837,1837
64,26-1,Polonaise,,C sharp minor,1835,1836
65,26-2,Polonaise,,E flat minor,1835,1836
66,27-1,Nocturne,,C sharp minor,1835,1836
67,27-2,Nocturne,,D flat major,1835,1836
68,28-1,Prelude No.1,,C major,1838-1839,1839
69,28-2,Prelude No.2,,A minor,1838-1839,1839
70,28-3,Prelude No.3,,G major,1838-1839,1839
71,28-4,Prelude No.4,,E minor,1838-1839,1839
72,28-5,Prelude No.5,,D major,1838-1839,1839
73,28-6,Prelude No.6,,B minor,1838-1839,1839
74,28-7,Prelude No.7,,A major,1838-1839,1839
75,28-8,Prelude No.8,,F sharp minor,1838-1839,1839
76,28-9,Prelude No.9,,E major,1838-1839,1839
77,28-10,Prelude No.10,,C sharp minor,1838-1839,1839
78,28-11,Prelude No.11,,B major,1838-1839,1839
79,28-12,Prelude No.12,,G sharp minor,1838-1839,1839
80,28-13,Prelude No.13,,F sharp major,1838-1839,1839
81,28-14,Prelude No.14,,E flat minor,1838-1839,1839
82,28-15,Prelude No.15,Raindrop,D flat major,1838-1839,1839
